# IPTV播放列表 - 生成时间: 2025-10-10 09:38:50
# 流程: 智能抓取 → 精准测速 → 模板匹配 → 生成文件
# 每个频道提供多个备用源，按速度排序
# 格式: 频道名称,直播流地址

央视频道,#genre#
黑龙江卫视,http://39.164.160.249:9901/tsfile/live/0143_1.m3u8
黑龙江卫视,http://58.57.40.22:9901/tsfile/live/1040_1.m3u8
安徽卫视,http://112.123.243.37:50085/tsfile/live/0130_1.m3u8?key=txiptv&playlive=0&authid=0
重庆卫视,http://112.123.243.37:50085/tsfile/live/0130_1.m3u8?key=txiptv&playlive=0&authid=0
重庆卫视,http://122.152.202.33/s/81a8a44f/index.m3u8?id=15
重庆卫视,http://39.164.160.249:9901/tsfile/live/0110_1.m3u8
重庆卫视,http://39.164.160.249:9901/tsfile/live/0121_1.m3u8
重庆卫视,http://39.164.160.249:9901/tsfile/live/0138_1.m3u8
重庆卫视,http://39.164.160.249:9901/tsfile/live/0131_1.m3u8
重庆卫视,http://39.164.160.249:9901/tsfile/live/0119_1.m3u8
重庆卫视,http://hlsbkmgsplive.miguvideo.com/migu/kailu/haixiaws/57/20230724/01.m3u8?msisdn=&Channel_ID=&ContentId=&HlsSubType=&HlsProfileId=&encrypt=
东方卫视,http://39.164.160.249:9901/tsfile/live/0131_1.m3u8
东南卫视,http://39.164.160.249:9901/tsfile/live/0119_1.m3u8
东南卫视,http://nn.7x9d.cn/地方台8563/海南.php?id=hnws&?key=txiptv#http://genglei.8866.org:9901/tsfile/live/1026_1.m3u8?key=txiptv&playlive=1&authid=0
东南卫视,http://nn.7x9d.cn/地方台8563/海南.php?id=hnws&?key=txiptv
东南卫视,http://nn.7x9d.cn/地方台8563/海南.php?id=hnws
甘肃卫视,http://112.123.243.37:50085/tsfile/live/0130_1.m3u8?key=txiptv&playlive=0&authid=0
甘肃卫视,http://122.152.202.33/s/81a8a44f/index.m3u8?id=15
甘肃卫视,http://39.164.160.249:9901/tsfile/live/0110_1.m3u8
甘肃卫视,http://39.164.160.249:9901/tsfile/live/0121_1.m3u8
甘肃卫视,http://39.164.160.249:9901/tsfile/live/0138_1.m3u8
甘肃卫视,http://39.164.160.249:9901/tsfile/live/0131_1.m3u8
甘肃卫视,http://39.164.160.249:9901/tsfile/live/0119_1.m3u8
甘肃卫视,http://hlsbkmgsplive.miguvideo.com/migu/kailu/haixiaws/57/20230724/01.m3u8?msisdn=&Channel_ID=&ContentId=&HlsSubType=&HlsProfileId=&encrypt=
凤凰卫视,http://122.152.202.33/s/81a8a44f/index.m3u8?id=15
广西卫视,http://39.164.160.249:9901/tsfile/live/0138_1.m3u8
贵州卫视,http://112.123.243.37:50085/tsfile/live/0130_1.m3u8?key=txiptv&playlive=0&authid=0
贵州卫视,http://122.152.202.33/s/81a8a44f/index.m3u8?id=15
贵州卫视,http://39.164.160.249:9901/tsfile/live/0110_1.m3u8
贵州卫视,http://39.164.160.249:9901/tsfile/live/0121_1.m3u8
贵州卫视,http://39.164.160.249:9901/tsfile/live/0138_1.m3u8
贵州卫视,http://39.164.160.249:9901/tsfile/live/0131_1.m3u8
贵州卫视,http://39.164.160.249:9901/tsfile/live/0119_1.m3u8
贵州卫视,http://hlsbkmgsplive.miguvideo.com/migu/kailu/haixiaws/57/20230724/01.m3u8?msisdn=&Channel_ID=&ContentId=&HlsSubType=&HlsProfileId=&encrypt=
海南卫视,http://nn.7x9d.cn/地方台8563/海南.php?id=hnws&?key=txiptv#http://genglei.8866.org:9901/tsfile/live/1026_1.m3u8?key=txiptv&playlive=1&authid=0
海南卫视,http://nn.7x9d.cn/地方台8563/海南.php?id=hnws&?key=txiptv
海南卫视,http://nn.7x9d.cn/地方台8563/海南.php?id=hnws
河北卫视,http://112.123.243.37:50085/tsfile/live/0130_1.m3u8?key=txiptv&playlive=0&authid=0
河北卫视,http://122.152.202.33/s/81a8a44f/index.m3u8?id=15
河北卫视,http://39.164.160.249:9901/tsfile/live/0110_1.m3u8
河北卫视,http://39.164.160.249:9901/tsfile/live/0121_1.m3u8
河北卫视,http://39.164.160.249:9901/tsfile/live/0138_1.m3u8
河北卫视,http://39.164.160.249:9901/tsfile/live/0131_1.m3u8
河北卫视,http://39.164.160.249:9901/tsfile/live/0119_1.m3u8
河北卫视,http://hlsbkmgsplive.miguvideo.com/migu/kailu/haixiaws/57/20230724/01.m3u8?msisdn=&Channel_ID=&ContentId=&HlsSubType=&HlsProfileId=&encrypt=
河南卫视,http://39.164.160.249:9901/tsfile/live/0119_1.m3u8
河南卫视,http://nn.7x9d.cn/地方台8563/海南.php?id=hnws&?key=txiptv#http://genglei.8866.org:9901/tsfile/live/1026_1.m3u8?key=txiptv&playlive=1&authid=0
河南卫视,http://nn.7x9d.cn/地方台8563/海南.php?id=hnws&?key=txiptv
河南卫视,http://nn.7x9d.cn/地方台8563/海南.php?id=hnws
吉林卫视,http://112.123.243.37:50085/tsfile/live/0130_1.m3u8?key=txiptv&playlive=0&authid=0
吉林卫视,http://122.152.202.33/s/81a8a44f/index.m3u8?id=15
吉林卫视,http://39.164.160.249:9901/tsfile/live/0110_1.m3u8
吉林卫视,http://39.164.160.249:9901/tsfile/live/0121_1.m3u8
吉林卫视,http://39.164.160.249:9901/tsfile/live/0138_1.m3u8
吉林卫视,http://39.164.160.249:9901/tsfile/live/0131_1.m3u8
吉林卫视,http://39.164.160.249:9901/tsfile/live/0119_1.m3u8
吉林卫视,http://hlsbkmgsplive.miguvideo.com/migu/kailu/haixiaws/57/20230724/01.m3u8?msisdn=&Channel_ID=&ContentId=&HlsSubType=&HlsProfileId=&encrypt=
江苏卫视,http://39.164.160.249:9901/tsfile/live/0138_1.m3u8
江西卫视,http://39.164.160.249:9901/tsfile/live/0138_1.m3u8
辽宁卫视,http://39.164.160.249:9901/tsfile/live/0121_1.m3u8
宁夏卫视,http://39.164.160.249:9901/tsfile/live/0121_1.m3u8
青海卫视,http://hlsbkmgsplive.miguvideo.com/migu/kailu/haixiaws/57/20230724/01.m3u8?msisdn=&Channel_ID=&ContentId=&HlsSubType=&HlsProfileId=&encrypt=
青海卫视,http://nn.7x9d.cn/地方台8563/海南.php?id=hnws&?key=txiptv#http://genglei.8866.org:9901/tsfile/live/1026_1.m3u8?key=txiptv&playlive=1&authid=0
青海卫视,http://nn.7x9d.cn/地方台8563/海南.php?id=hnws&?key=txiptv
青海卫视,http://nn.7x9d.cn/地方台8563/海南.php?id=hnws
山东卫视,http://39.164.160.249:9901/tsfile/live/0131_1.m3u8
山西卫视,http://39.164.160.249:9901/tsfile/live/0138_1.m3u8
山西卫视,http://39.164.160.249:9901/tsfile/live/0131_1.m3u8
陕西卫视,http://39.164.160.249:9901/tsfile/live/0138_1.m3u8
四川卫视,http://112.123.243.37:50085/tsfile/live/0130_1.m3u8?key=txiptv&playlive=0&authid=0
四川卫视,http://122.152.202.33/s/81a8a44f/index.m3u8?id=15
四川卫视,http://39.164.160.249:9901/tsfile/live/0110_1.m3u8
四川卫视,http://39.164.160.249:9901/tsfile/live/0121_1.m3u8
四川卫视,http://39.164.160.249:9901/tsfile/live/0138_1.m3u8
四川卫视,http://39.164.160.249:9901/tsfile/live/0131_1.m3u8
四川卫视,http://39.164.160.249:9901/tsfile/live/0119_1.m3u8
四川卫视,http://hlsbkmgsplive.miguvideo.com/migu/kailu/haixiaws/57/20230724/01.m3u8?msisdn=&Channel_ID=&ContentId=&HlsSubType=&HlsProfileId=&encrypt=
深圳卫视,http://112.123.243.37:50085/tsfile/live/0130_1.m3u8?key=txiptv&playlive=0&authid=0
深圳卫视,http://122.152.202.33/s/81a8a44f/index.m3u8?id=15
深圳卫视,http://39.164.160.249:9901/tsfile/live/0110_1.m3u8
深圳卫视,http://39.164.160.249:9901/tsfile/live/0121_1.m3u8
深圳卫视,http://39.164.160.249:9901/tsfile/live/0138_1.m3u8
深圳卫视,http://39.164.160.249:9901/tsfile/live/0131_1.m3u8
深圳卫视,http://39.164.160.249:9901/tsfile/live/0119_1.m3u8
深圳卫视,http://hlsbkmgsplive.miguvideo.com/migu/kailu/haixiaws/57/20230724/01.m3u8?msisdn=&Channel_ID=&ContentId=&HlsSubType=&HlsProfileId=&encrypt=
三沙卫视,http://112.123.243.37:50085/tsfile/live/0130_1.m3u8?key=txiptv&playlive=0&authid=0
三沙卫视,http://122.152.202.33/s/81a8a44f/index.m3u8?id=15
三沙卫视,http://39.164.160.249:9901/tsfile/live/0110_1.m3u8
三沙卫视,http://39.164.160.249:9901/tsfile/live/0121_1.m3u8
三沙卫视,http://39.164.160.249:9901/tsfile/live/0138_1.m3u8
三沙卫视,http://39.164.160.249:9901/tsfile/live/0131_1.m3u8
三沙卫视,http://39.164.160.249:9901/tsfile/live/0119_1.m3u8
